date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-03-17,Genesis Era (50 BTC/block),0.86,0.88,0.81,0.8254,-0.0345999999999999,-4.023255813953484,0.0699999999999999,0.877257142857143,0.90709,0.3664139,5.415362949028432,-0.0016229758755031,0.0109465560059056,43.55252334047601,False,Fall,Neutral,High,Above 200-MA,1.1615986665422513e-06,-0.6978366363339389,-0.6487194672475859,8.139534883720918
2011-03-18,Genesis Era (50 BTC/block),0.8254,0.8506,0.71,0.8165,-0.0089,-1.0782650835958345,0.1406,0.8681857142857142,0.8993066666666666,0.37017155,5.414444055709625,-0.0065788334636482,0.0074414781119948,42.65932610587354,False,Fall,Neutral,High,Above 200-MA,1.0904966848900775e-06,-0.6978369286967686,-0.2108964374535904,17.034165253210563
2011-03-19,Genesis Era (50 BTC/block),0.8165,0.8165,0.7313,0.765,-0.0514999999999999,-6.307409675443967,0.0852,0.8463285714285715,0.89014,0.37369655,5.5107749704666364,-0.0144949175174524,0.0030541989861053,37.82520778775344,False,Large Fall,Neutral,High,Above 200-MA,6.790638697117698e-07,-0.6978386204592103,-0.9882978414151566,10.434782608695652
2011-03-20,Genesis Era (50 BTC/block),0.765,0.79,0.7402,0.7411,-0.0239,-3.124183006535952,0.0498,0.8247,0.88488,0.37708755,4.98585251629826,-0.0224383461349064,-0.002044310038097,35.79782709363555,False,Fall,Neutral,Medium,Above 200-MA,4.881270875222248e-07,-0.6978394055683823,-0.5150569818308209,6.509803921568627
2011-03-21,Genesis Era (50 BTC/block),0.7411,0.7724,0.7405,0.759,0.0179,2.4153285656456656,0.0318999999999999,0.8052857142857143,0.8785466666666667,0.38056555,4.885050690520486,-0.0269782022182689,-0.0070310884741313,38.45832610659458,False,Rise,Neutral,Medium,Above 200-MA,6.311299494968213e-07,-0.6978388175577472,0.30848575978484294,4.304412360005385
2011-03-22,Genesis Era (50 BTC/block),0.759,0.81,0.7405,0.809,0.05,6.587615283267463,0.0695,0.7965714285714285,0.87718,0.3843063,4.691483299423064,-0.0262390216315214,-0.0108726751056094,45.27958334315553,False,Large Rise,Neutral,High,Above 200-MA,1.0305792846213922e-06,-0.6978371750699397,0.9287672408258975,9.156785243741766
2011-03-23,Genesis Era (50 BTC/block),0.809,0.85,0.78,0.8497,0.0406999999999999,5.030902348578486,0.0699999999999999,0.7951,0.8776866666666667,0.3882429,4.768870405327839,-0.0221141477059326,-0.013120969625674,50.12556941514378,False,Large Rise,Neutral,High,Above 200-MA,1.3557310434127925e-06,-0.6978358380848645,0.697335349866343,8.652657601977737
2011-03-24,Genesis Era (50 BTC/block),0.8497,0.9,0.8266,0.8669,0.0171999999999999,2.0242438507708598,0.0734,0.8010285714285714,0.8775766666666667,0.3922694,4.719406768450095,-0.0172583160239936,-0.0139484389053379,52.057844881677966,False,Rise,Neutral,High,Above 200-MA,1.4931416146956448e-06,-0.6978352730690587,0.2503443561438834,8.638342944568672
2011-03-25,Genesis Era (50 BTC/block),0.8669,0.89,0.861,0.8838,0.0169,1.949475141308112,0.029,0.8106428571428571,0.8770366666666668,0.3963803999999999,4.691112231491886,-0.0119090653783261,-0.0135405641999356,53.94584847289112,False,Rise,Neutral,Medium,Above 200-MA,1.62815548996775e-06,-0.6978347179081799,0.2392287140560077,3.345253201061253
2011-03-26,Genesis Era (50 BTC/block),0.8838,0.905,0.841,0.8552,-0.0286,-3.2360262502828774,0.064,0.8235285714285714,0.8722966666666667,0.4003514000000001,4.259738968421895,-0.0098638226744178,-0.012805215894832,50.33336987301661,False,Fall,Neutral,Medium,Above 200-MA,1.3996704702764948e-06,-0.6978356574112056,-0.5316843848764394,7.241457343290338
